Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Support Vector Machine,Clinical,10,2,1.0,0.8,0.75,0.75,0.75,0.9583333333333334,0.008711814880371094,0.01682758331298828
Clinical Support Vector Machine,Clinical,10,3,0.9736842105263158,0.6,0.5,0.5,0.5,0.7083333333333333,0.008706808090209961,0.016691923141479492
Clinical Support Vector Machine,Clinical,10,4,0.9743589743589743,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.65,0.009302139282226562,0.015477895736694336
Clinical Support Vector Machine,Clinical,10,5,1.0,0.6666666666666666,1.0,0.25,0.4,0.9,0.008949756622314453,0.015886545181274414
Multimodal XGBoost,Multimodal,1,1,1.0,0.6,0.5,0.5,0.5,0.5833333333333334,0.07106709480285645,0.024890899658203125
Multimodal XGBoost,Multimodal,1,2,1.0,0.4,0.3333333333333333,0.5,0.4,0.41666666666666663,0.07549738883972168,0.03527069091796875
Multimodal XGBoost,Multimodal,1,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.9166666666666667,0.08115720748901367,0.024720430374145508
Multimodal XGBoost,Multimodal,1,4,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,1.0,0.08377456665039062,0.024305343627929688
Multimodal XGBoost,Multimodal,1,5,1.0,0.6666666666666666,1.0,0.25,0.4,0.9,0.0740365982055664,0.033355712890625
Multimodal XGBoost,Multimodal,2,1,1.0,0.6,0.5,1.0,0.6666666666666666,0.8333333333333334,0.06896853446960449,0.026714563369750977
Multimodal XGBoost,Multimodal,2,2,1.0,0.6,0.5,0.25,0.3333333333333333,0.8333333333333334,0.06875848770141602,0.0253450870513916
Multimodal XGBoost,Multimodal,2,3,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.7083333333333334,0.06920337677001953,0.026415348052978516
Multimodal XGBoost,Multimodal,2,4,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,1.0,0.07376432418823242,0.026026248931884766
Multimodal XGBoost,Multimodal,2,5,1.0,0.5555555555555556,0.5,0.25,0.3333333333333333,0.8,0.08141660690307617,0.024532318115234375
Multimodal XGBoost,Multimodal,3,1,1.0,0.6,0.0,0.0,0.0,0.9166666666666667,0.08369946479797363,0.02659130096435547
Multimodal XGBoost,Multimodal,3,2,1.0,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.07320618629455566,0.028773784637451172
Multimodal XGBoost,Multimodal,3,3,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.4166666666666667,0.06981205940246582,0.025557994842529297
